date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:33:12	4342/4342	---M--	200	added ('OK')	image/jpeg	etag:%2204cf66091c0d11:0%22	https://daily.gate.vn/Skin/images/logo-dt/dt_9.jpg	E:/FPT/Template/Template/daily.gate.vn/Skin/images/logo-dt/dt_9.jpg	(from https://daily.gate.vn/home/)
20:33:12	3951/3951	---M--	200	added ('OK')	image/jpeg	etag:%220efd77291c0d11:0%22	https://daily.gate.vn/Skin/images/logo-dt/dt_10.jpg	E:/FPT/Template/Template/daily.gate.vn/Skin/images/logo-dt/dt_10.jpg	(from https://daily.gate.vn/home/)
20:33:13	5409/5409	---M--	200	added ('OK')	image/jpeg	etag:%2233b5d0e183d5d01:0%22	https://daily.gate.vn/Skin/images/banks/vietcom.jpg	E:/FPT/Template/Template/daily.gate.vn/Skin/images/banks/vietcom.jpg	(from https://daily.gate.vn/home/)
20:33:13	4850/4850	---M--	200	added ('OK')	image/jpeg	etag:%2213cee0d883d5d01:0%22	https://daily.gate.vn/Skin/images/banks/techcom.jpg	E:/FPT/Template/Template/daily.gate.vn/Skin/images/banks/techcom.jpg	(from https://daily.gate.vn/home/)
20:33:13	6334/6334	---M--	200	added ('OK')	image/jpeg	etag:%22db961dad9bd11:0%22	https://daily.gate.vn/Skin/images/banks/vib.jpg	E:/FPT/Template/Template/daily.gate.vn/Skin/images/banks/vib.jpg	(from https://daily.gate.vn/home/)
20:33:13	5125/5125	---M--	200	added ('OK')	image/jpeg	etag:%223f2cda83d5d01:0%22	https://daily.gate.vn/Skin/images/banks/exim.jpg	E:/FPT/Template/Template/daily.gate.vn/Skin/images/banks/exim.jpg	(from https://daily.gate.vn/home/)
20:33:14	5427/5427	---M--	200	added ('OK')	image/jpeg	etag:%22e3cc8dd83d5d01:0%22	https://daily.gate.vn/Skin/images/banks/ocb.jpg	E:/FPT/Template/Template/daily.gate.vn/Skin/images/banks/ocb.jpg	(from https://daily.gate.vn/home/)
20:33:14	4965/4965	---M--	200	added ('OK')	image/jpeg	etag:%22f36f9bdd83d5d01:0%22	https://daily.gate.vn/Skin/images/banks/tp.jpg	E:/FPT/Template/Template/daily.gate.vn/Skin/images/banks/tp.jpg	(from https://daily.gate.vn/home/)
20:33:14	4950/4950	---M--	200	added ('OK')	image/jpeg	etag:%2283bc31de83d5d01:0%22	https://daily.gate.vn/Skin/images/banks/maritime.jpg	E:/FPT/Template/Template/daily.gate.vn/Skin/images/banks/maritime.jpg	(from https://daily.gate.vn/home/)
20:33:14	4612/4612	---M--	200	added ('OK')	image/jpeg	etag:%22736a5e083d5d01:0%22	https://daily.gate.vn/Skin/images/banks/vietin.jpg	E:/FPT/Template/Template/daily.gate.vn/Skin/images/banks/vietin.jpg	(from https://daily.gate.vn/home/)
20:33:15	4462/4462	---M--	200	added ('OK')	image/jpeg	etag:%22137a3be183d5d01:0%22	https://daily.gate.vn/Skin/images/banks/acb.jpg	E:/FPT/Template/Template/daily.gate.vn/Skin/images/banks/acb.jpg	(from https://daily.gate.vn/home/)
20:33:15	6741/6741	---M--	200	added ('OK')	image/jpeg	etag:%22734fbad783d5d01:0%22	https://daily.gate.vn/Skin/images/banks/sacom.jpg	E:/FPT/Template/Template/daily.gate.vn/Skin/images/banks/sacom.jpg	(from https://daily.gate.vn/home/)
20:33:15	104940/104940	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2013:33:12%20GMT	https://daily.gate.vn/dieu-khoan-su-dung/	E:/FPT/Template/Template/daily.gate.vn/dieu-khoan-su-dung/index.html	(from https://daily.gate.vn/home/)
20:33:15	1059/1059	---M--	200	added ('OK')	image/png	etag:%22d391298ba94d11:0%22	https://daily.gate.vn/Skin/images/facebook-footer.png	E:/FPT/Template/Template/daily.gate.vn/Skin/images/facebook-footer.png	(from https://daily.gate.vn/home/)
20:33:15	39760/39760	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2013:33:14%20GMT	https://daily.gate.vn/chinh-sach-bao-mat/	E:/FPT/Template/Template/daily.gate.vn/chinh-sach-bao-mat/index.html	(from https://daily.gate.vn/home/)
20:33:15	2091/2091	---M--	200	added ('OK')	image/png	etag:%223a880eafec2d11:0%22	https://daily.gate.vn/Skin/images/google-plus-logo.png	E:/FPT/Template/Template/daily.gate.vn/Skin/images/google-plus-logo.png	(from https://daily.gate.vn/home/)
20:33:16	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Sep%202018%2013:33:14%20GMT	https://daily.gate.vn/home/javascript	E:/FPT/Template/Template/daily.gate.vn/home/javascript.2c.delayed	(from https://daily.gate.vn/home/)
20:33:16	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Sep%202018%2013:33:13%20GMT	https://daily.gate.vn/home/chuyentien-confirm.html	E:/FPT/Template/Template/daily.gate.vn/home/chuyentien-confirm.2d.delayed	(from https://daily.gate.vn/home/)
